50,444,5,
50,448,5,
50,448,5,
50,448,5,
50,448,5,
50,448,5,
50,448,5,
50,448,5,
50,448,5,
50,448,5,
50,448,5,
50,448,5,
50,448,5,
50,448,6,
50,448,5,
50,448,5,
50,448,5,
50,448,5,
50,448,5,
50,448,5,
50,448,5,
50,618,6,
50,618,5,
50,618,6,
50,618,6,
50,618,5,
50,618,5,
50,618,6,
50,618,6,
50,618,6,
50,618,5,
50,618,6,
50,618,6,
50,618,5,
50,618,5,
50,618,6,
50,618,6,
50,618,6,
50,618,6,
50,618,6,
50,618,6,
100,1728,13,
100,1728,14,
100,1728,13,
100,1728,13,
100,1728,14,
100,1728,13,
100,1728,13,
100,1728,14,
100,1728,13,
100,1728,13,
100,1728,13,
100,1728,13,
100,1728,13,
100,1728,14,
100,1728,13,
100,1728,13,
100,1728,13,
100,1728,13,
100,1728,13,
100,1728,13,
100,2470,15,
100,2470,16,
100,2470,16,
100,2470,16,
100,2470,16,
100,2470,16,
100,2470,16,
100,2470,16,
100,2470,16,
100,2470,16,
100,2470,16,
100,2470,16,
100,2470,16,
100,2470,16,
100,2470,16,
100,2470,16,
100,2470,16,
100,2470,16,
100,2470,16,
100,2470,16,
50,433,6,
50,433,6,
50,433,6,
50,433,6,
50,433,5,
50,433,6,
50,433,6,
50,433,6,
50,433,5,
50,433,6,
50,433,6,
50,433,5,
50,433,6,
50,433,5,
50,433,6,
50,433,6,
50,433,6,
50,433,5,
50,433,5,
50,433,5,
50,626,6,
50,626,6,
50,626,6,
50,626,6,
50,626,6,
50,626,6,
50,578,6,
50,578,6,
50,578,5,
50,578,6,
50,578,6,
50,578,6,
50,578,6,
50,578,5,
50,578,5,
50,578,5,
50,578,5,
50,578,6,
50,578,5,
50,578,5,
50,799,6,
50,799,7,
50,799,6,
50,799,7,
50,799,6,
50,799,7,
50,799,6,
50,799,6,
50,799,9,
50,799,6,
50,799,7,
50,799,7,
50,799,7,
50,799,6,
50,799,7,
50,799,6,
50,799,6,
50,799,6,
50,799,7,
50,799,7,
100,1702,12,
100,1702,13,
100,1702,13,
100,1702,14,
